-1.0f0, -1.6089907f-11
-0.5895896f0, -0.13313544f0
-0.5895896f0, 0.32722253f0
-0.5895896f0, 0.0021637178f0
-0.5895896f0, 0.41038746f0
-0.5875876f0, -0.15301166f0
-0.5875876f0, 0.30402675f0
-0.5875876f0, 0.048182596f0
-0.5875876f0, 0.4011012f0
-0.5875876f0, -0.13298093f0
-0.5875876f0, 0.32940927f0
-0.5875876f0, 1.684805f-5
-0.5875876f0, 0.4124124f0
-0.5855856f0, -0.15448982f0
-0.5855856f0, 0.30404514f0
-0.5855856f0, 0.050149757f0
-0.5855856f0, 0.40216655f0
-0.5855856f0, -0.13288116f0
-0.5855856f0, 0.33153045f0
-0.5855856f0, -0.0020039508f0
-0.5855856f0, 0.41439474f0
-0.5835836f0, -0.1558966f0
-0.5835836f0, 0.30414575f0
-0.5835836f0, 0.051961184f0
-0.5835836f0, 0.40327373f0
-0.5835836f0, -0.132853f0
-0.5835836f0, 0.33356607f0
-0.5835836f0, -0.003860673f0
-0.5835836f0, 0.4163434f0
-0.5815816f0, -0.15726168f0
-0.5815816f0, 0.3042902f0
-0.5815816f0, 0.053689566f0
-0.5815816f0, 0.4043931f0
-0.5815816f0, -0.13284335f0
-0.5815816f0, 0.3355796f0
-0.5815816f0, -0.0056733782f0
-0.5815816f0, 0.41826072f0
-0.5815816f0, -0.15723974f0
-0.5815816f0, 0.30432016f0
-0.5815816f0, 0.053632822f0
-0.5815816f0, 0.40442252f0
-0.5815816f0, -0.13289568f0
-0.5815816f0, 0.3355171f0
-0.5815816f0, -0.0055550295f0
-0.5815816f0, 0.41826722f0
-0.5795796f0, -0.15852782f0
-0.5795796f0, 0.3045583f0
-0.5795796f0, 0.05518362f0
-0.5795796f0, 0.40560955f0
-0.5795796f0, -0.13300268f0
-0.5795796f0, 0.33739126f0
-0.5795796f0, -0.007101631f0
-0.5795796f0, 0.42017332f0
-0.5795796f0, -0.158559f0
-0.5795796f0, 0.30451548f0
-0.5795796f0, 0.055264775f0
-0.5795796f0, 0.40556628f0
-0.5795796f0, -0.13292587f0
-0.5795796f0, 0.33748305f0
-0.5795796f0, -0.0072753686f0
-0.5795796f0, 0.4201611f0
-0.5775776f0, -0.15984556f0
-0.5775776f0, 0.30474466f0
-0.5775776f0, 0.056832593f0
-0.5775776f0, 0.40672028f0
-0.5775776f0, -0.1329707f0
-0.5775776f0, 0.3394315f0
-0.5775776f0, -0.008960091f0
-0.5775776f0, 0.4220291f0
-0.5775776f0, -0.15976904f0
-0.5775776f0, 0.3048504f0
-0.5775776f0, 0.05663225f0
-0.5775776f0, 0.40682992f0
-0.5775776f0, -0.13316499f0
-0.5775776f0, 0.3391992f0
-0.5775776f0, -0.008520674f0
-0.5775776f0, 0.42206675f0
-0.5755756f0, -0.16150242f0
-0.5755756f0, 0.30444777f0
-0.5755756f0, 0.059397075f0
-0.5755756f0, 0.40728572f0
-0.5755756f0, -0.13197032f0
-0.5755756f0, 0.3426252f0
-0.5755756f0, -0.012995009f0
-0.5755756f0, 0.4235973f0
-0.5755756f0, -0.16047312f0
-0.5755756f0, 0.30587798f0
-0.5755756f0, 0.05668693f0
-0.5755756f0, 0.40880203f0
-0.5755756f0, -0.13465196f0
-0.5755756f0, 0.33941397f0
-0.5755756f0, -0.0069249445f0
-0.5755756f0, 0.42418948f0
-0.5735736f0, -0.16330218f0
-0.5735736f0, 0.30393264f0
-0.5735736f0, 0.062374912f0
-0.5735736f0, 0.4075429f0
-0.5735736f0, -0.13042359f0
-0.5735736f0, 0.346455f0
-0.5735736f0, -0.018221108f0
-0.5735736f0, 0.4248009f0
-0.5735736f0, -0.16054292f0
-0.5735736f0, 0.30778322f0
-0.5735736f0, 0.055077117f0
-0.5735736f0, 0.41167226f0
-0.5735736f0, -0.13770862f0
-0.5735736f0, 0.33769104f0
-0.5735736f0, -0.0016630226f0
-0.5735736f0, 0.42641288f0
-0.5715716f0, -0.16472659f0
-0.5715716f0, 0.30392787f0
-0.5715716f0, 0.06438592f0
-0.5715716f0, 0.40832016f0
-0.5715716f0, -0.12979645f0
-0.5715716f0, 0.34919304f0
-0.5715716f0, -0.02137809f0
-0.5715716f0, 0.4261915f0
-0.5715716f0, -0.16092902f0
-0.5715716f0, 0.30924937f0
-0.5715716f0, 0.05429861f0
-0.5715716f0, 0.41408542f0
-0.5715716f0, -0.13994178f0
-0.5715716f0, 0.33692867f0
-0.5715716f0, 0.0017820962f0
-0.5715716f0, 0.42841285f0
-0.5695696f0, -0.16610871f0
-0.5695696f0, 0.3039705f0
-0.5695696f0, 0.066307224f0
-0.5695696f0, 0.40911725f0
-0.5695696f0, -0.12920263f0
-0.5695696f0, 0.35188916f0
-0.5695696f0, -0.024448492f0
-0.5695696f0, 0.42750585f0
-0.5695696f0, -0.16117851f0
-0.5695696f0, 0.31090456f0
-0.5695696f0, 0.05316053f0
-0.5695696f0, 0.41667825f0
-0.5695696f0, -0.14247157f0
-0.5695696f0, 0.33575574f0
-0.5695696f0, 0.006005035f0
-0.5695696f0, 0.43025374f0
-0.5695696f0, -0.1658681f0
-0.5695696f0, 0.30431244f0
-0.5695696f0, 0.06565944f0
-0.5695696f0, 0.4095273f0
-0.5695696f0, -0.12992637f0
-0.5695696f0, 0.3510428f0
-0.5695696f0, -0.022857023f0
-0.5695696f0, 0.42787373f0
-0.5695696f0, -0.16180775f0
-0.5695696f0, 0.3100282f0
-0.5695696f0, 0.05482322f0
-0.5695696f0, 0.41581097f0
-0.5695696f0, -0.1409579f0
-0.5695696f0, 0.3376609f0
-0.5695696f0, 0.0023979982f0
-0.5695696f0, 0.43040225f0
-0.5675676f0, -0.16756608f0
-0.5675676f0, 0.30389348f0
-0.5675676f0, 0.06845508f0
-0.5675676f0, 0.40973216f0
-0.5675676f0, -0.1282858f0
-0.5675676f0, 0.35495773f0
-0.5675676f0, -0.02820939f0
-0.5675676f0, 0.42854077f0
-0.5675676f0, -0.16094552f0
-0.5675676f0, 0.31323043f0
-0.5675676f0, 0.050748702f0
-0.5675676f0, 0.4198921f0
-0.5675676f0, -0.14605935f0
-0.5675676f0, 0.3331772f0
-0.5675676f0, 0.01289234f0
-0.5675676f0, 0.43161833f0
-0.5675676f0, -0.16618587f0
-0.5675676f0, 0.30586272f0
-0.5675676f0, 0.06472387f0
-0.5675676f0, 0.4121147f0
-0.5675676f0, -0.13248035f0
-0.5675676f0, 0.35002655f0
-0.5675676f0, -0.018943107f0
-0.5675676f0, 0.43067566f0
-0.5675676f0, -0.16458398f0
-0.5675676f0, 0.30813336f0
-0.5675676f0, 0.060419165f0
-0.5675676f0, 0.41470414f0
-0.5675676f0, -0.13702093f0
-0.5675676f0, 0.34454104f0
-0.5675676f0, -0.008604459f0
-0.5675676f0, 0.43206972f0
-0.5675676f0, -0.16695191f0
-0.5675676f0, 0.3047712f0
-0.5675676f0, 0.066792265f0
-0.5675676f0, 0.41080973f0
-0.5675676f0, -0.13018483f0
-0.5675676f0, 0.35274157f0
-0.5675676f0, -0.024048453f0
