1.885986f0, 9.994043f-35
1.8867868f0, 2.1942639f-34
1.8875875f0, 4.806508f-34
1.8883884f0, 1.0504099f-33
1.8891892f0, 2.2901903f-33
1.88999f0, 4.9815327f-33
1.8907908f0, 1.08100606f-32
1.8915915f0, 2.3402482f-32
1.8923924f0, 5.05428f-32
1.8931932f0, 1.0889681f-31
1.893994f0, 2.340584f-31
1.8947948f0, 5.018584f-31
1.8955956f0, 1.0734472f-30
1.8963964f0, 2.2904316f-30
1.8971972f0, 4.8751223f-30
1.897998f0, 1.0350937f-29
1.8987988f0, 2.1922704f-29
1.8995996f0, 4.6315155f-29
1.9004004f0, 9.760247f-29
1.9012012f0, 2.0516404f-28
1.902002f0, 4.3016835f-28
1.9028028f0, 8.99635f-28
1.9036036f0, 1.87663f-27
1.9044044f0, 3.904533f-27
1.9052052f0, 8.10273f-27
1.906006f0, 1.6770998f-26
1.9068068f0, 3.4621447f-26
1.9076076f0, 7.1282605f-26
1.9084084f0, 1.4637509f-25
1.9092093f0, 2.9977067f-25
1.91001f0, 6.122693f-25
1.9108108f0, 1.2471541f-24
1.9116116f0, 2.5334643f-24
1.9124124f0, 5.132384f-24
1.9132133f0, 1.0368735f-23
1.914014f0, 2.0889453f-23
1.9148148f0, 4.196772f-23
1.9156156f0, 8.407808f-23
1.9164164f0, 1.6796602f-22
1.9172173f0, 3.3459784f-22
1.918018f0, 6.6462973f-22
1.9188188f0, 1.3163849f-21
1.9196196f0, 2.599705f-21
1.9204204f0, 5.119112f-21
1.9212213f0, 1.0050456f-20
1.922022f0, 1.9673814f-20
1.9228228f0, 3.8396703f-20
1.9236237f0, 7.471238f-20
1.9244244f0, 1.4493563f-19
1.9252253f0, 2.803058f-19
1.926026f0, 5.404475f-19
1.9268268f0, 1.0387946f-18
1.9276277f0, 1.9904462f-18
1.9284284f0, 3.801942f-18
1.9292293f0, 7.239098f-18
1.93003f0, 1.373968f-17
1.9308308f0, 2.5993888f-17
1.9316317f0, 4.9018184f-17
1.9324324f0, 9.213473f-17
1.9332333f0, 1.7260694f-16
1.934034f0, 3.2229254f-16
1.9348348f0, 5.997738f-16
1.9356357f0, 8.0f-45
1.9364364f0, 5.3f-44
1.9372373f0, 3.31f-43
1.938038f0, 2.046f-42
1.9388388f0, 1.253f-41
1.9396397f0, 7.5922f-41
1.9404404f0, 4.55153f-40
1.9412413f0, 2.699405f-39
1.942042f0, 1.5836555f-38
1.9428428f0, 9.1895124f-38
1.9436437f0, 5.273745f-37
1.9444444f0, 2.9929217f-36
1.9452453f0, 1.6794805f-35
1.946046f0, 9.31774f-35
1.9468468f0, 5.1103878f-34
1.9476477f0, 2.7704815f-33
1.9484484f0, 1.4844447f-32
1.9492493f0, 7.860101f-32
1.95005f0, 4.112391f-31
1.9508508f0, 2.1257301f-30
1.9516517f0, 1.0854587f-29
1.9524524f0, 5.4746f-29
1.9532533f0, 2.7268809f-28
1.954054f0, 1.3412016f-27
1.9548548f0, 6.512887f-27
1.9556557f0, 3.122054f-26
1.9564564f0, 1.4771634f-25
1.9572573f0, 6.8971534f-25
1.958058f0, 3.1775647f-24
1.9588588f0, 1.444208f-23
1.9596597f0, 6.474431f-23
1.9604604f0, 2.8624178f-22
1.9612613f0, 1.2477996f-21
1.9620621f0, 5.362351f-21
1.9628628f0, 2.271328f-20
1.9636637f0, 9.480503f-20
1.9644644f0, 3.8987f-19
1.9652653f0, 1.5792543f-18
1.9660661f0, 6.2998737f-18
1.9668669f0, 2.4743416f-17
1.9676677f0, 9.566048f-17
1.9684684f0, 3.6395185f-16
1.9692693f0, 1.5f-44
1.9700701f0, 7.8f-43
1.9708709f0, 3.7073f-41
1.9716717f0, 1.671856f-39
1.9724724f0, 7.1559307f-38
1.9732733f0, 2.9044572f-36
1.9740741f0, 1.1168072f-34
1.9748749f0, 4.0641582f-33
1.9756757f0, 1.3982562f-31
1.9764764f0, 4.5430675f-30
1.9772773f0, 1.3923757f-28
1.9780781f0, 4.020503f-27
1.9788789f0, 1.0923548f-25
1.9796797f0, 2.7887986f-24
1.9804804f0, 6.680612f-23
1.9812813f0, 1.4993328f-21
1.9820821f0, 3.1474436f-20
1.9828829f0, 6.16944f-19
1.9836837f0, 1.1270979f-17
1.9844844f0, 1.9153677f-16
1.9852853f0, 1.72f-43
1.9860861f0, 5.36626f-40
1.9868869f0, 1.3202367f-36
1.9876877f0, 2.5416543f-33
1.9884884f0, 3.7962242f-30
1.9892893f0, 4.357944f-27
1.9900901f0, 3.805302f-24
1.9908909f0, 2.4981812f-21
1.9916917f0, 1.2170134f-18
1.9924924f0, 4.3346464f-16
1.9932933f0, 8.559801f-39
1.9940941f0, 5.03535f-32
1.9948949f0, 9.687815f-26
1.9956957f0, 5.6063336f-20
1.9964964f0, 4.246f-42
1.9972973f0, 2.143585f-28
1.9980981f0, 8.06225f-17
1.9988989f0, 5.0386948f-21
1.9996997f0, 4.2213426f-24
2.0005004f0, 0.77787995f0
2.0005004f0, 0.77779496f0
2.0013013f0, 0.77795666f0
2.0013013f0, 0.77803606f0
2.0021021f0, 0.7781998f0
2.0021021f0, 0.77812403f0
2.002903f0, 0.7782852f0
2.002903f0, 0.77835643f0
2.0037036f0, 0.77853715f0
2.0037036f0, 0.7784343f0
2.0045044f0, 0.7785897f0
2.0045044f0, 0.7786965f0
2.0053053f0, 0.77886075f0
2.0053053f0, 0.7787546f0
2.0061061f0, 0.7790331f0
2.0061061f0, 0.77890384f0
2.006907f0, 0.7791821f0
2.006907f0, 0.7790745f0
2.0077076f0, 0.7792125f0
2.0077076f0, 0.77935666f0
2.0085084f0, 0.7795221f0
2.0085084f0, 0.779374f0
2.0093093f0, 0.7795296f0
2.0093093f0, 0.7796776f0
2.0101101f0, 0.7798578f0
2.0101101f0, 0.7796748f0
2.010911f0, 0.77983534f0
2.010911f0, 0.78000695f0
2.0117116f0, 0.7801834f0
2.0117116f0, 0.7799826f0
2.0125124f0, 0.7801275f0
2.0125124f0, 0.78034705f0
2.0133133f0, 0.78053313f0
2.0133133f0, 0.7802642f0
2.0141141f0, 0.7803981f0
2.0141141f0, 0.780706f0
2.014915f0, 0.7809316f0
2.014915f0, 0.7804949f0
2.0157156f0, 0.7806153f0
2.0157156f0, 0.78111506f0
2.0165164f0, 0.78072774f0
2.0165164f0, 0.7813154f0
2.0173173f0, 0.7815987f0
2.0173173f0, 0.7807645f0
2.0181181f0, 0.78074884f0
2.0181181f0, 0.7819153f0
2.018919f0, 0.7803188f0
2.018919f0, 0.7826455f0
2.0197196f0, 0.7780874f0
2.0197196f0, 0.7850755f0
2.0205204f0, 0.7750783f0
2.0205204f0, 0.7880862f0
2.0213213f0, 0.7726978f0
2.0213213f0, 0.7904057f0
2.0221221f0, 0.7712754f0
2.0221221f0, 0.7918645f0
2.022923f0, 0.76953834f0
2.022923f0, 0.79352313f0
2.0237238f0, 0.7680335f0
2.0237238f0, 0.7949546f0
2.0245245f0, 0.7666406f0
2.0245245f0, 0.79626393f0
2.0253253f0, 0.7653857f0
2.0253253f0, 0.7974429f0
2.0261261f0, 0.764234f0
2.0261261f0, 0.79852426f0
2.026927f0, 0.76296383f0
2.026927f0, 0.7996551f0
2.0277278f0, 0.7619368f0
2.0277278f0, 0.8006075f0
2.0285285f0, 0.7609687f0
2.0285285f0, 0.80150515f0
2.0293293f0, 0.7600458f0
2.0293293f0, 0.8023592f0
2.0301301f0, 0.7591438f0
2.0301301f0, 0.80318564f0
2.030931f0, 0.75826234f0
2.030931f0, 0.8039858f0
2.0317318f0, 0.7574311f0
2.0317318f0, 0.80474514f0
2.0325325f0, 0.75661236f0
2.0325325f0, 0.8054852f0
2.0333333f0, 0.75584364f0
2.0333333f0, 0.8061881f0
2.0341341f0, 0.75508374f0
2.0341341f0, 0.8068759f0
2.034935f0, 0.7543528f0
2.034935f0, 0.8075394f0
2.0357358f0, 0.75361747f0
2.0357358f0, 0.8081951f0
2.0365365f0, 0.75291014f0
2.0365365f0, 0.80882853f0
2.0373373f0, 0.75227433f0
2.0373373f0, 0.8094222f0
2.0381382f0, 0.75158966f0
2.0381382f0, 0.8100288f0
2.038939f0, 0.750939f0
2.038939f0, 0.8106131f0
2.0397398f0, 0.750278f0
2.0397398f0, 0.8111937f0
2.0405405f0, 0.74964786f0
2.0405405f0, 0.8117546f0
2.0413413f0, 0.7490112f0
2.0413413f0, 0.8123107f0
2.0421422f0, 0.74841887f0
2.0421422f0, 0.8128436f0
2.042943f0, 0.7477941f0
2.042943f0, 0.8133814f0
2.0437438f0, 0.7472017f0
